Target,Year,Uniprot,ProteinName,Resolution,pIC50,Unit,Molecule ID
4m5h,2014,P26281,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,1.11,4.54,Kd=29uM,YH2
4ce2,2014,P02829,ATP-DEPENDENT MOLECULAR CHAPERONE HSP82,2.38,3.84,Kd=144uM,BO5
4cfl,2014,Q6NXE4,BROMODOMAIN-CONTAINING PROTEIN 4,1.32,5.88,Kd=1.33uM,8DQ
4nhc,2014,P05880,ANTIBODY FAB LIGHT CHAIN,2.91,7.34,IC50=46nM,17-mer
4ngh,2014,P05880,ANTIBODY FAB LIGHT CHAIN,2.68,7.52,IC50=30nM,17-mer
4nan,2014,P69834,2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE,1.80,4.72,IC50=19uM,2JM
4nal,2014,P69834,2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE,1.80,5.66,IC50=2.2uM,H70
4o72,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.40,6.0,IC50=1.0uM,2R4
4nuc,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.40,6.04,Ki=0.91uM,435
4nak,2014,P69834,2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE,1.80,5.85,IC50=1.4uM,PBQ
4m5g,2014,P26281,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,1.31,5.01,Kd=9.7uM,YH1
4wiv,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.56,6.26,Kd=550nM,3P2
4nld,2014,Q9WMX2,RNA-DIRECTED RNA POLYMERASE,2.75,7.7,IC50=0.02uM,2N7
4oo9,2014,P41594,"METABOTROPIC GLUTAMATE RECEPTOR 5, LYSOZYME",2.60,9.07,Kd=0.86nM,2U8
4c1h,2014,P04190,BETA-LACTAMASE 2,1.10,4.09,IC50=80.4uM,X8Z
4nj9,2014,Q7TS98,8B10 LIGHT CHAIN,1.95,6.97,Kd=108nM,2M9
4nq6,2014,P04190,BETA-LACTAMASE 2,1.80,4.28,Ki=53uM,3R9
4c1c,2014,P04190,BETA-LACTAMASE 2,1.18,4.97,IC50=10.7uM,MCO
4tlr,2014,4tlr,HCV NS5B RNA-DEPENDENT RNA POLYMERASE,1.86,8.52,IC50=3nM,33H
4tyt,2014,P04190,BETA-LACTAMASE 2,1.80,7.7,IC50=0.02uM,S3C
4pml,2014,Q9H2K2,TANKYRASE-2,1.87,4.52,IC50>30uM,3AB
4pnn,2014,Q9H2K2,TANKYRASE-2,1.65,4.52,IC50>30uM,JPZ
4pns,2014,Q9H2K2,TANKYRASE-2,1.65,4.52,IC50>30uM,32Y
4pnq,2014,Q9H2K2,TANKYRASE-2,1.85,5.0,IC50=10uM,32X
4tju,2014,Q9H2K2,TANKYRASE-2,1.57,5.44,IC50=3.6uM,CNQ
4ps5,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.40,6.54,IC50=0.29uM,2TA
4pnl,2014,Q9H2K2,TANKYRASE-2,1.50,5.52,IC50=3.0uM,DRL
4tk0,2014,Q9H2K2,TANKYRASE-2,1.65,5.55,IC50=2.8uM,32Z
4clb,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.60,6.55,IC50=0.28uM,83T
4pnt,2014,Q9H2K2,TANKYRASE-2,1.60,5.82,IC50=1.5uM,IQD
4o97,2014,Q9Y5Y6,SUPPRESSOR OF TUMORIGENICITY 14,2.20,8.52,Ki=3nM,NTX
4w9s,2014,P13166,POLYMERASE ACIDIC PROTEIN,1.80,6.82,IC50=0.15uM,3K1
4us4,2014,Q9KDT3,TRANSPORTER,2.60,5.32,Kd=4.8uM,TRP
4ce3,2014,P02829,ATP-DEPENDENT MOLECULAR CHAPERONE HSP82,2.31,3.96,Kd=110uM,L4V
4j3i,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.24,5.74,IC50=1.8uM,1K0
4c9x,2014,P36639,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",1.20,7.32,Kd=48nM,VHS
4nrp,2014,Q6P6C2,RNA DEMETHYLASE ALKBH5,1.80,4.59,IC50=25.85uM,OGA
4nro,2014,Q6P6C2,RNA DEMETHYLASE ALKBH5,2.30,5.02,Kd~9.6uM,AKG
4oct,2014,Q6P6C2,RNA DEMETHYLASE ALKBH5,2.28,5.05,Kd=9uM,AKG
4p6e,2014,P25774,CATHEPSIN S,1.80,5.89,IC50=1290nM,2FC
4pl0,2014,Q9X2W0,MICROCIN-J25 EXPORT ATP-BINDING/PERMEASE PROTEIN,2.70,4.4,IC50=39.5uM,ANP
4p6g,2014,P25774,CATHEPSIN S,1.58,8.11,IC50=7.70nM,2FZ
4oyt,2014,A5K8L9,SERINE HYDROXYMETHYLTRANSFERASE,2.40,2.81,Ki=1.55mM,FON
4r5g,2014,P0A6Y8,CHAPERONE PROTEIN DNAK,3.45,5.22,Kd=6.0uM,3JE
4pci,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.25,5.12,IC50=7.5uM,2NJ
4uau,2014,P95649,PROTEIN CBBY,1.45,5.89,Ki~1.3uM,XBP
4uat,2014,P95649,PROTEIN CBBY,1.30,5.89,Ki~1.3uM,XBP
4c1f,2014,P52699,BETA-LACTAMASE IMP-1,2.01,4.63,IC50=23.3uM,X8Z
4c1g,2014,P52699,BETA-LACTAMASE IMP-1,1.71,5.14,IC50=7.2uM,MCO
4ce1,2014,P02829,ATP-DEPENDENT MOLECULAR CHAPERONE HSP82,2.01,4.38,Kd=41.8uM,7FK
4m5l,2014,P26281,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,1.09,4.72,Kd=18.9uM,YH4
4pce,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.29,5.15,IC50=7.0uM,2N0
4m7b,2014,Q9H2K2,TANKYRASE-2,1.95,6.7,IC50=0.2uM,28C
4w7p,2014,Q13464,RHO-ASSOCIATED PROTEIN KINASE 1,2.80,7.49,IC50=32nM,3J7
4nzb,2014,P58154,ACETYLCHOLINE-BINDING PROTEIN,2.68,4.17,Ki~67uM,NSE
4m5m,2014,P26281,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,1.12,4.74,Kd=18uM,DX4
4qaa,2014,P58154,ACETYLCHOLINE-BINDING PROTEIN,2.70,6.44,Kd=0.36uM,KK1
4m5j,2014,P26281,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,1.70,4.84,Kd=14.5uM,YH5
4cft,2014,P29473,ENDOTHELIAL NITRIC OXIDE SYNTHASE,1.79,4.95,Ki=11.16uM,M48
4cu1,2014,P29473,"NITRIC OXIDE SYNTHASE, ENDOTHELIAL",1.89,4.71,Kd=19.4uM,71S
4o7e,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.85,5.24,IC50=5.7uM,2RN
4o78,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,1.34,5.34,IC50=4.6uM,SAV
4qac,2014,P58154,ACETYLCHOLINE-BINDING PROTEIN,2.10,9.4,Kd=0.4nM,KK3
4qab,2014,P58154,ACETYLCHOLINE-BINDING PROTEIN,2.98,9.7,Kd=0.2nM,KK2
4o77,2014,O60885,BROMODOMAIN-CONTAINING PROTEIN 4,2.00,5.6,IC50=2.5uM,2RE
4c9w,2014,P36639,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE",1.65,6.11,Kd=781nM,VGH
4oz2,2014,Q96PN6,ADENYLATE CYCLASE TYPE 10,2.10,3.0,IC50>1000uM,1Z6
4u6r,2014,O75460,SERINE/THREONINE-PROTEIN KINASE/ENDORIBONUCLEASE IR,2.50,7.85,IC50=14nM,3E4
4l4l,2014,P43490,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE,2.12,8.3,IC50=0.005uM,1XC
4usi,2014,A8JI83,NITROGEN REGULATORY PROTEIN PII,1.45,4.41,Kd=38.9uM,AKG
4trc,2014,Q97W95,PURINE PHOSPHORIBOSYLTRANSFERASE (GPT-1),2.40,4.52,Kd=30uM,ADE
4ogt,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.54,10.0,IC50=0.1nM,2U6
4uyf,2014,P25440,BROMODOMAIN-CONTAINING PROTEIN 2,1.60,7.6,Kd=25nM,73B
3wk8,2014,P34913,EPOXIDE HYDROLASE 2,2.20,4.31,IC50=49uM,S0E
4uyh,2014,P25440,BROMODOMAIN-CONTAINING PROTEIN 2,1.73,6.3,IC50=0.50uM,9S3
3wka,2014,P34913,EPOXIDE HYDROLASE 2,2.01,4.54,IC50=29uM,S0G
4qn7,2014,Q20R18,NEURAMINIDASE,2.30,9.08,IC50=0.84nM,G39
3wk5,2014,P34913,EPOXIDE HYDROLASE 2,2.77,4.82,IC50=15uM,S0C
4qkx,2014,D9IEF7,BETA-2 ADRENERGIC RECEPTOR,3.30,7.07,Ki=85nM,35V
4r92,2014,P56817,BETA-SECRETASE 1,1.71,7.41,Ki=39nM,3KU
4ozo,2014,Q8A5P6,PUTATIVE LIPOPROTEIN,2.60,3.83,Ki=147uM,OTN
4wt2,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.42,10.42,Kd=38pM,3UD
4oue,2014,Q8A5P6,PUTATIVE LIPOPROTEIN,2.35,3.3,Ki>500uM,IPT
2mwo,2014,Q12888,TUMOR SUPPRESSOR P53-BINDING PROTEIN 1,NMR,4.7,Kd=20uM,15-mer
4nwc,2014,P42264,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",2.01,5.76,Ki=1.74uM,2QE
3wk4,2014,P34913,EPOXIDE HYDROLASE 2,2.11,5.13,IC50=7.4uM,S0A
3wk6,2014,P34913,EPOXIDE HYDROLASE 2,2.10,5.2,IC50=6.3uM,S0B
2mwp,2014,Q12888,TUMOR SUPPRESSOR P53-BINDING PROTEIN 1,NMR,6.05,Kd=0.9uM,12-mer
4nwd,2014,P42264,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",2.60,5.4,Ki=3.96uM,2QD
4kiu,2014,P0A4Z6,3-DEHYDROQUINATE DEHYDRATASE,2.40,3.85,Ki=140uM,KIU
4pm0,2014,Q13946,"CAMP-SPECIFIC 3',5'-CYCLIC PHOSPHODIESTERASE 7A",2.10,7.35,IC50=45nM,32V
4ux6,2014,P29477,"NITRIC OXIDE SYNTHASE, INDUCIBLE",3.00,5.92,IC50=1.2uM,YWO
4g2r,2014,P63407,"ACCD6, CARBOXYLTRANSFERASE BETA-SUBUNIT OF ACYL-COA",2.28,4.45,Kd=35.8uM,H1L
4pee,2014,Q8A3I4,ALPHA-L-FUCOSIDASE,1.95,8.32,Ki=4.8nM,2OX
4pcs,2014,Q8A3I4,ALPHA-L-FUCOSIDASE,1.77,7.85,Ki=14nM,2M7
4wsj,2014,Q8A3I4,ALPHA-L-FUCOSIDASE,1.64,7.33,IC50=46.8nM,3U3
4qgf,2014,Q6GJI9,THYMIDYLATE KINASE,1.83,7.16,IC50=69nM,32B
4qga,2014,Q6GJI9,THYMIDYLATE KINASE,1.94,7.92,IC50=12nM,31Z
4ogn,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.38,10.0,IC50=0.1nM,2U5
4m3m,2014,Q0A480,NEURAMINIDASE,2.10,9.05,IC50=0.9nM,22N
4cpy,2014,U5XBU0,NEURAMINIDASE,1.80,6.31,Ki=491.35nM,G39
4cpz,2014,U5XBU0,NEURAMINIDASE,2.20,7.68,Ki=20.85nM,ZMR
4na9,2014,P08709,COAGULATION FACTOR VII,2.24,7.39,Ki=41nM,1T7
4ng9,2014,P08709,COAGULATION FACTOR VIIA (HEAVY CHAIN),2.20,7.12,Ki=75nM,2KE
4o2e,2014,P30475,"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, B-39 ALPHA CHAIN",1.98,8.0,IC50=10nM,9-mer
4o2c,2014,P30475,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,1.80,8.0,Kd=10nM,10-mer
4psq,2014,P02753,RETINOL-BINDING PROTEIN 4,2.40,6.36,IC50=0.44uM,2WL
4o9s,2014,P02753,RETINOL-BINDING PROTEIN 4,2.30,6.55,IC50=0.28uM,2RY
4u79,2014,P53779,MITOGEN-ACTIVATED PROTEIN KINASE 10,2.23,6.4,IC50=0.40uM,3EL
4cj4,2014,Q76353,HIV-1 INTEGRASE,1.80,3.36,Kd=432uM,S3G
4cjp,2014,Q76353,HIV-1 INTEGRASE,2.00,3.32,Kd=481uM,4D2
4ogv,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,2.20,8.05,IC50=9.0nM,2U7
4oq3,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,2.30,8.1,IC50=8nM,2V8
4qo4,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.70,8.3,IC50=5nM,35S
4rrn,2014,P56817,BETA-SECRETASE 1,1.80,7.32,IC50=48nM,3UW
4j5b,2014,P30405,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F,2.01,6.22,IC50=0.6uM,6B4
4qg7,2014,Q6GJI9,THYMIDYLATE KINASE,1.67,8.0,IC50=10nM,32K
4j5d,2014,P30405,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F,1.32,5.96,IC50=1.1uM,728
4oak,2014,Q9JN36,"D,D-DIPEPTIDASE/D,D-CARBOXYPEPTIDASE",2.00,4.22,Ki=59.7uM,2-mer
4cjr,2014,Q76353,HIV-1 INTEGRASE,1.80,3.1,Kd=793uM,FYM
4occ,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.80,8.7,IC50=2.0nM,2TZ
4wcu,2014,Q08499,"CAMP-SPECIFIC 3',5'-CYCLIC PHOSPHODIESTERASE 4D",2.35,8.52,IC50=3nM,3KQ
4j5c,2014,P30405,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F,1.03,5.52,IC50=3.0uM,7I6
4u0n,2014,Q9KVG7,CYCLIC AMP-GMP SYNTHASE,2.10,5.77,IC50=1.69uM,TLL
4j5e,2014,P30405,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F,.99,4.94,IC50=11.4uM,7B7
4j58,2014,P30405,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F,1.28,3.3,IC50>500uM,53Z
4oba,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.60,9.4,IC50=0.4nM,2TW
4oas,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.70,10.0,IC50=0.10nM,2SW
4ode,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,1.80,10.0,IC50=0.1nM,2U0
4pl3,2014,Q9EQY0,SERINE/THREONINE-PROTEIN KINASE/ENDORIBONUCLEASE IR,2.90,6.54,IC50=0.29uM,31J
4odf,2014,Q00987,E3 UBIQUITIN-PROTEIN LIGASE MDM2,2.20,10.0,IC50=0.1nM,2U1
4ntj,2014,Q9H244,"P2Y PURINOCEPTOR 12, SOLUBLE CYTOCHROME B562",2.62,7.36,Ki=43.9nM,AZJ
4j59,2014,P30405,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F,1.92,5.85,IC50=1.4uM,671
4nga,2014,P08709,COAGULATION FACTOR VIIA (HEAVY CHAIN),2.15,7.77,Ki=17nM,2KF
4pct,2014,Q8A3I4,ALPHA-L-FUCOSIDASE,2.10,7.15,Ki=70nM,H76
4qgg,2014,Q6GJI9,THYMIDYLATE KINASE,1.62,9.0,IC50=1nM,32C
4o6w,2014,P53350,SERINE/THREONINE-PROTEIN KINASE PLK1,1.45,8.52,Kd=3nM,7-mer
4o37,2014,P61823,RIBONUCLEASE,1.40,6.16,Kd=694nM,15-mer
4q4o,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.35,7.46,Kd=34.3nM,2YM
4whh,2014,P53350,SERINE/THREONINE-PROTEIN KINASE PLK1,1.90,7.4,IC50=0.04uM,5-mer
4o9w,2014,P53350,SERINE/THREONINE-PROTEIN KINASE PLK1,1.69,7.16,Kd=69.91nM,6-mer
4uwf,2014,Q8NEB9,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYP,2.99,8.15,IC50=7nM,EUT
4whl,2014,P53350,SERINE/THREONINE-PROTEIN KINASE PLK1,2.71,6.4,IC50=0.40uM,5-mer
4pid,2014,P03252,PROTEASE,1.59,4.62,IC50=24uM,2UQ
4o36,2014,P61823,RIBONUCLEASE,1.22,6.36,Kd=436nM,15-mer
4rcp,2014,P53350,SERINE/THREONINE-PROTEIN KINASE PLK1,1.60,5.35,IC50=4.42uM,5-mer
4ph4,2014,Q8NEB9,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYP,2.80,7.74,IC50=18nM,2UG
4non,2014,Q5M586,FERROUS IRON UPTAKE TRANSPORTER PROTEIN B,2.50,5.24,Kd=5.71uM,GDP
4oya,2014,Q96PN6,ADENYLATE CYCLASE TYPE 10,2.03,6.44,IC50=0.36uM,1VE
4bzs,2014,P12821,ANGIOTENSIN-CONVERTING ENZYME,2.10,7.12,Ki=75nM,K26
6mv3,2014,P63316,TROPONIN C,NMR,3.33,Kd=470uM,WW7
4ciw,2014,P0A4Z6,3-DEHYDROQUINATE DEHYDRATASE,2.20,4.82,Ki=15.0uM,XH2
4civ,2014,P0A4Z6,3-DEHYDROQUINATE DEHYDRATASE,2.90,4.95,Ki=11.2uM,48P
4kiw,2014,P0A4Z6,3-DEHYDROQUINATE DEHYDRATASE,2.57,5.12,Ki=7.5uM,KIW
4u5j,2014,P00523,TYROSINE-PROTEIN KINASE SRC,2.26,5.53,IC50=2.93uM,RXT
4oyb,2014,Q96PN6,ADENYLATE CYCLASE TYPE 10,1.70,5.8,IC50=1.6uM,1VJ
3wq6,2014,Q7X9A9,BETA-PRIMEVEROSIDASE,1.80,4.59,Ki=26uM,ZPA
3wq5,2014,Q7X9A9,BETA-PRIMEVEROSIDASE,1.80,3.85,Ki=140uM,VPA
4p1u,2014,P31345,POLYMERASE BASIC PROTEIN 2,2.52,8.52,Kd<0.003uM,21G
4ncm,2014,P31345,POLYMERASE BASIC PROTEIN 2,2.82,7.0,Kd=0.10uM,704
4oym,2014,Q96PN6,ADENYLATE CYCLASE TYPE 10,1.70,4.96,IC50=11uM,1ZC
4l2l,2014,P09960,LEUKOTRIENE A-4 HYDROLASE,1.65,5.7,Ki=0.002mM,1V6
4oyi,2014,Q96PN6,ADENYLATE CYCLASE TYPE 10,1.70,4.72,IC50=19uM,1VK
4oz3,2014,Q96PN6,ADENYLATE CYCLASE TYPE 10,1.70,4.55,IC50=28uM,1Z8
4clz,2014,Q96PN6,ADENYLATE CYCLASE TYPE 10,1.90,4.37,IC50=43uM,4DS
4puj,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.42,7.46,Kd=35.0nM,CKR
4puk,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.49,7.28,Kd=52.4nM,2WU
4ciy,2014,P0A4Z6,3-DEHYDROQUINATE DEHYDRATASE,2.10,4.57,Ki=27.0uM,NDY
4q4s,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.25,6.95,Kd=111.6nM,S98
4c5w,2014,O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,1.70,5.48,IC50=3.3uM,NM3
4qgh,2014,Q6GJI9,THYMIDYLATE KINASE,1.78,9.0,IC50=1nM,32E
4bgm,2014,O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,2.40,6.21,IC50=0.61uM,DLT
4bgk,2014,O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,2.18,6.28,IC50=520nM,RTK
4wsk,2014,Q8A3I4,ALPHA-L-FUCOSIDASE,1.92,6.43,IC50=371.6nM,3U2
4bg1,2014,O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,1.89,6.31,IC50=0.49uM,IVL
4c8r,2014,O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,2.82,6.82,IC50=153nM,6YT
4bhi,2014,O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,2.15,7.05,IC50=90nM,RUJ
4piq,2014,B9A5C1,PROTEASE,2.07,7.1,IC50=0.08uM,3FS
4pis,2014,B9A5C1,PROTEASE,2.10,7.22,IC50=0.06uM,3FU
4qpl,2014,Q9CZW6,E3 UBIQUITIN-PROTEIN LIGASE RNF146,1.90,7.41,Kd=39nM,V3L
4n84,2014,P63104,14-3-3 PROTEIN ZETA/DELTA,2.50,6.29,Kd=0.51uM,10-mer
4n7y,2014,P63104,14-3-3 PROTEIN ZETA/DELTA,2.16,6.26,Kd=0.55uM,11-mer
4n7g,2014,P63104,14-3-3 PROTEIN ZETA/DELTA,2.25,5.66,Kd=2.2uM,11-mer
4bhf,2014,O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,2.05,3.46,IC50=343uM,MZT
4q4q,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.41,5.79,Kd=1638.9nM,SAQ
4q4p,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.54,6.39,Kd=407.4nM,2YO
4q4r,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.45,6.43,Kd=369.2nM,SQO
4kij,2014,P0A4Z6,3-DEHYDROQUINATE DEHYDRATASE,2.80,4.3,Ki=50uM,KIJ
4kwo,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.32,6.45,Ki=353nM,1UD
4cix,2014,P0A4Z6,3-DEHYDROQUINATE DEHYDRATASE,2.90,4.47,Ki=34.0uM,W4N
4uwk,2014,Q8NEB9,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYP,2.83,9.0,IC50=1nM,UJB
4oys,2014,Q8NEB9,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYP,2.90,8.82,Kd=1.52nM,1TT
4uwl,2014,Q8NEB9,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYP,2.80,8.57,Kd=2.7nM,7A5
4uwh,2014,Q8NEB9,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYP,1.93,8.52,IC50=3nM,JXM
4uwg,2014,Q8NEB9,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYP,2.70,8.15,IC50=7nM,RBQ
4leq,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.41,6.54,Kd=288nM,1WK
4lbu,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.17,6.56,Kd=276nM,1WJ
4pum,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.93,6.73,Kd=188.1nM,2WU
4pul,2014,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,1.65,6.84,Kd=146.1nM,2WU
4oee,2014,P09038,FIBROBLAST GROWTH FACTOR 2,1.50,5.76,Kd=1.73uM,GNX-IDY
4u6y,2014,P01892,"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-2 ALPHA CHAIN",1.47,7.08,IC50=83nM,15-mer
4o2f,2014,P30475,"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, B-39 ALPHA",1.90,6.41,IC50=387nM,8-mer
4u6x,2014,P01892,"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-2 ALPHA CHAIN",1.68,6.38,IC50=414nM,15-mer
4wk1,2014,Q5HIJ4,PSTA,1.98,5.89,Kd=1.3uM,2BA
4d3h,2014,Q99WC0,PSTA,2.00,6.43,Kd=0.37uM,2BA
4wht,2014,Q9WJJ4,HEAVY CHAIN OF THE FAB FRAGMENT DERIVED FROM NEUTRA,2.22,8.1,Kd=7.9nM,12-mer
4why,2014,Q9WJJ4,EPITOPE PEPTIDE,2.62,8.1,Kd=7.9nM,12-mer
4myd,2014,P37355,"2-SUCCINYL-6-HYDROXY-2,4-CYCLOHEXADIENE-1-CARBOXYLA",1.37,4.55,Kd=28uM,164
4cga,2014,P35790,CHOLINE KINASE ALPHA,1.74,6.4,Kd=0.4uM,QLW
4kxl,2014,O35820,2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1,1.69,6.22,Kd=0.6uM,6C6
4cg9,2014,P35790,CHOLINE KINASE ALPHA,1.83,6.21,Kd=0.62uM,GQG
4kxn,2014,O35820,2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1,1.90,6.1,Kd=0.8uM,6K6
4cd1,2014,O35795,ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 2,2.00,4.89,Ki=12.8uM,8E9
4mqp,2014,P0A4X6,ADENOSYLMETHIONINE-8-AMINO-7-OXONONANOATE AMINOTRAN,1.83,4.98,Ki=10.4uM,2B1
4p5d,2014,O35820,2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1,2.11,5.82,Ki=1.5uM,N6P
4wh9,2014,P30305,M-PHASE INDUCER PHOSPHATASE 2,1.50,3.0,IC50=1mM,3M8
4kxm,2014,O35820,2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1,2.24,5.59,Kd=2.6uM,6IA
4nwk,2014,A8DG50,NS3/4A PROTEASE,1.62,8.7,IC50=2nM,2R8
4wh7,2014,P30305,M-PHASE INDUCER PHOSPHATASE 2,1.62,2.3,IC50>5mM,8H8
4m3p,2014,Q93088,BETAINE--HOMOCYSTEINE S-METHYLTRANSFERASE 1,1.90,5.4,Kd=4uM,HCS
4urn,2014,X5EN43,"DNA TOPOISOMERASE IV, B SUBUNIT",2.30,4.46,IC50=35uM,NOV
4url,2014,X5EN43,"DNA TOPOISOMERASE IV, B SUBUNIT",2.29,6.3,IC50=500nM,XAM
4um9,2014,P06756,INTEGRIN ALPHA-V,2.50,8.07,Kd=8.5nM,13-mer
4o1d,2014,P43490,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE,1.71,7.62,IC50=24nM,DGB
4nhy,2014,Q8N543,2-OXOGLUTARATE AND IRON-DEPENDENT OXYGENASE DOMAIN,2.60,5.64,IC50=2.3uM,PD2
4nhx,2014,Q8N543,2-OXOGLUTARATE AND IRON-DEPENDENT OXYGENASE DOMAIN,2.10,5.72,IC50=1.9uM,OGA
4na7,2014,P03951,COAGULATION FACTOR XI,2.80,9.7,Ki=0.20nM,1T5
4ty7,2014,P03951,COAGULATION FACTOR XI,2.09,9.52,Ki=0.3nM,39F
4o5b,2014,P12497,INTEGRASE,2.37,8.3,IC50=5.03nM,LF9
4q0k,2014,G7J032,PHYTOHORMONE BINDING PROTEIN MTPHBP,1.34,4.87,Kd=13.4uM,GA3
4o28,2014,P43490,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE,2.00,7.54,IC50=29nM,1QS
4ojr,2014,P03366,HIV-1 INTEGRASE,1.82,7.42,IC50~38nM,2SQ
4ibf,2014,Q05127,POLYMERASE COFACTOR VP35,2.29,4.43,Kd=36.8uM,1D5
4ibj,2014,Q05127,POLYMERASE COFACTOR VP35,1.54,4.33,Kd=47.0uM,1D9
4ibk,2014,Q05127,POLYMERASE COFACTOR VP35,1.85,4.3,Kd=50.4uM,1DE
4ibe,2014,Q05127,POLYMERASE COFACTOR VP35,1.95,4.15,Kd=70.6uM,11Y
4lm5,2014,P11309,SERINE/THREONINE-PROTEIN KINASE PIM-1,2.25,6.82,IC50=150nM,Q17
